Francais,Lingala
"Elle s'est fait couper les cheveux parce qu'elle aimait les cheveux plus courts, non parce qu'elle a perdu son amour.","Amikatisaki suki mpo alingaka suki ya mokuse, te mpo abungisaki mobali naye."
Sa voix résonne encore à mes oreilles.,Mongongo na ye ezali lisusu koyokana na matoyi na ngai.
Son mari est un membre du clan Oda.,Mobali naye azali moyi clan Oda.
Elle cherche le portefeuille qu'elle a perdu.,Azoluka mwa libenga na ye abungisaki.
Elle vit avec une petite pension.,Abikaka na mosolo moke.
Elle a très peur des chiens.,Abangaka mbwa makasi.
Elle n'est plus seule maintenant.,Ajali lisusu yemoko te sikaawa.
Elle a une machine à laver automatique.,Azali na mashini ya kosukola ya automatique.
Elle a l'intention d'aller à un concours de beauté.,Azalaki na makanisi ya kokende na lisano ya momekano ya bonzenga.
"Elle arriva en courant, les yeux brillants.","Ayaki na lombangu mpenza, miso mazalaki kongenga."
Je n'ai pas d'objection à payer des frais spéciaux si cela est nécessaire.,Na koboya kofuta ba mbongo ya koleka soki esengeli bongo.
Mon mari gagne 100.000$ par an.,Mobali na ngai afutamaka 100 000 dolar na mobu moko.
Père s'est soudainement senti malade et nous avons appelé un docteur.,Tata akomaki maladi na ko sutuka kaka boye mpe to bengisaki dokotolo moko.
Mon père a arrêté de fumer récemment.,Tata na ngai atiki kobenda likaya kala te.
J'aimerais me diriger vers le commerce extérieur dans le futur.,Nakolinga nasala mombongo ya libanda ekolo na mikolo mikoya.
Pourriez-vous me rappeler de téléphoner à mon conseiller académique demain à 21 heures  ?,Okoki kosalisa ngai nakundola kobenga na aloalo molaki akademiki na ngai lobi na ngoga ya tuku ibale na moko?
Il va peut-être neiger ce soir.,Ntango mosusu matanga ekonoka na mpokwa ya lelo.
C'est seulement quand je ne peux pas dormir la nuit que le tic-tac de l'horloge devient assez bruyant pour m'embêter.,Kaka na ntangu ya bozangi pongi na butu nde makelele ya likonga ya ngonga ekomaka mutungisi pona ngai.
"Les examens de la mi-semestre auront lieu dès la semaine prochaine. Bachoter la veille ne t'avancera à rien, et il n'y a que des questions impossibles. Alors commence dès maintenant à bosser.","Mimekano ya ndambo ya semestre eko salema ko uta mposo ezo ya. Bachoter kozanga ko lala eko bakisela yo eloko moko te, mpe eza kaka na mituna impossible. Sikoyo banda sika awa ko sala."
Une entente parfaite entre la théorie et la pratique est quelque chose de rare.,Boyakani mobongibe katikati ya maloba pamba mpe mosala ezali eloko moko emonanaka penza te.
Un certain M. West a appelé durant votre absence.,M. West moko abengaki ntango ozalaki te.
Un certain M. Brown est passé vous voir en votre absence.,Moto moko na nkombo ya M. Brawun alekaki ko tala tango ozalaki te.
"Les oiseaux, par exemple, ont un système particulier de protection.","Ndakisa ya ba ndeke, bazali na lolenge ekeseni ya komibatela."
Les personnes âgées ont besoin de vivre pour quelqu'un.,Mikolo bazali na bonsenga ya kobika mpo na moto mususu.
Je n'ai pas vu Rick depuis qu'il est rentré de Nouvelle-Zélande.,Namonaki Rick te uta azongaki na ekolo Nouvelle-Zélande.
Nous devons mettre à jour notre méthode pédagogique.,Tosengeli kozongisa sika lolenge nabiso ya kotangisa.
Un pot de départ fut organisé pour M. Smith.,Komela ya nsuka esalamaki mpo na Tata Smith.
Nous nous dirigeâmes vers un étang au pied de la colline.,Tokendeki pembeni ya liziba oyo ezali na nse ya ngomba.
Pourriez-vous me dire le code postal de New York ?,Okoki koyebisa ngayi code postal ya New York ?
Il y a un monde entre « se faire comprendre » et « avoir un anglais correct. »,"Ezali na mokili ekaboli ""kososolama"" na ""koloba anglais ya malamu. »"
"Attends une seconde, je reviens tout de suite. Ne raccroche pas !","Zela seconde moko, nazo zonga kaka kala mingi te. Ko kata te!"
C'est quand on devient capable de bouger que la véritable valeur de la santé se fait ressentir.,Ntango tokomaka ko ninganga nde ntina ya solo ya bokolongono bwa nzoto emonisamaka.
Elle dit qu'elle t'appellera plus tard.,Alobi ete akobengayo nsima.
Le garçon pouilleux se révéla être un prince déguisé.,Mwana mobali oyo ya mobola amimonisaki nasima ete ezali muana ya mokonzi amibongolaki mobola.
Les affaires appellent mon père à Sydney deux fois par an.,Mosala ezali kobenga tata na ngai na Sydney mbala mibale na mbula.
Ils ont lancé un appel de fonds pour l'aide aux réfugiés.,Ba lansaki mobengo ya mbongo pona ko salisa ma ba réfugiés.
Un vieux chêne grince dans la tempête.,Nzete ya ekoli makasi ebangaka mopepe ya makasi.
Superman sort ce mois-ci au cinéma.,Superman ekobima sanza oyo na cinéma.
À quelle heure allons-nous arriver à Akita si nous prenons le train de 9 h 30 ?,Tokokoma na Akita na ngonga nini soki tozwi engunduka ya 9h30?
"Nous devons quitter l'hôtel avant 10h, autrement nous allons manquer le train pour Miami.","Esengeli tolongwa na lotele liboso ya ngonga ya 10, soki te tokozanga engunduka mpo na kokoma Miami."
"Dans le système judiciaire américain, il y a douze personnes dans un jury.","Na lolenge ya mibeko na america, ezalaka na bato zomi na mibale na lisanga ya bazuzi mpo na esambiselo."
"Chris fut embauché pour peindre des maisons, et put mettre de l'argent de côté.","Chris azwaki mosala ya kopakola langi na bandako, mpe akokaki kosangisa mosolo."
Une minute correspond à soixante secondes.,Munite moko ezali ba segonde ntuku motoba.
Je considère que les Témoins de Jéhovah qui viennent constamment frapper à ma porte ne sont pas différents des fanatiques religieux qui essayent de me convertir.,Namonaka ba Témoins de Jéhovah oyo bayaka kobeta tango nyonso na ekuke ya ndako na ngai lolenge moko na ba fanatiki ya ba mangoba ya losambo oyo bamekaka kobongolisa ngai.
"Si certains sont venus à la rencontre de leurs amis, d'autres sont venus les raccompagner.","Soki basusu bayei kokutana na baninga na bango, basusu bayei kotika bango."
"Oui, c'est Anthony.","boye, eza Anthony."
Il est ici pour chercher la bagarre.,Azali awa pona ko luka bitumba.
"Ayant perdu son chemin, il choisit sa route au hasard.","Awa abungi nzela na ye, aponi kaka nzela bongo bongo."
Je classe sa musique comme du rock.,Mpo na ngai miziki na ye ezali rock.
"La meilleure défense, c'est l'attaque.","Lolenga malamu ya komibatela, ezali kobanda bitumba."
On rentre chez nous.,Tozonga epayi na biso.
Il paraît que Carol et Will ont rompu.,Na yoki sango ete Carol na Will bakati bolingo nabango.
Une odeur d'ananas se dégage sous le soleil.,Solo ya ananasi ebimi na moyi.
Nous l'avons élu maire.,Toponaki ye moyangeli ya engumba.
L'opéra commence à sept heures.,Opera ekobanda na ngonga ya sambo liboso ya nzanga.
Je t'assure que l'honnêteté paie sur le long terme.,Nakoyebisa yo ete bosembo efutaka na ngonga molayi.
Je l'ai entendue sangloter dans sa chambre.,Nayokaki ye kolela okati ya elálelo na ye.
Ma ville natale se situe à 10 miles (~16 km) au sud de New York.,Engumba esika na botama ezeli na ba kilometres zomi na sud ya New York.
Je suis désolé de te créer tous ces soucis.,Limbisa ngai pona ko salela yo ba makambo oyo nyoso.
"Apparemment, aucun compromis n'est envisageable.","Nakomonana, ata boyokani moko ekoki kosalema te."
Vous devez avoir rendu votre devoir d'ici jeudi sans faute.,Esengeli bozongisa ba makomi na bino na mokolo ya minei.
Le Dr Smith a beaucoup de patients.,Monganga Smith azali na babeli mingi.
Cet homme cruel fouetta son chien.,Moto oyo azanga mawa afiakolaki mbwa naye fimbu.
Jouer de la country à la guitare est très facile pour un musicien professionnel.,Kobeta miziki country na lindanda ezali pete mingi pona mobeti miziki ya solo.
On a le droit de vote à vingt ans.,Tozali na ndingisa na maponami na mbula ntúkú míbalé.
Les progrès de l'homme sont sans limites.,Bokeyi liboso ya moto ezali na ndelo te.
Le bébé saura marcher dans quelques jours.,Mwana akotambola na nsima mikolo mike ekoya.
La nonne pria et fit le signe de croix.,Mamelo asambelaki mpe asalaki elembo ya ekuluze.
Je ferais n'importe quoi pour toi.,Nakosala manso mpo na yo.
La foule en colère jetait des objets sur la police.,Lisanga ya bato na nkanda bazalaki kobamba mabanga na ba pulusu.
C'est bien de laisser le bébé pleurer de temps en temps.,Ezali malamu kotika mwana kolela tango na tango.
"Lorsque vous regardez la télévision ou écoutez la radio, la musique que vous entendez est souvent d'origine africaine.","Ntangu ozali kotala televizyo to koyoka radio, miziki oyo ozali koyoka ezali mingi mingi oyo ewuta afrique."
Est-ce que ça te dérange d'allumer la télé ?,Ekotungisa yo soki na kopelisa télé ?
La troisième étoile appartenait à un roi.,Minzoto ya misato azali ya Mokonzi.
Il est amusant de savoir que la beauté des jardins japonais ne se retrouve dans aucune autre culture.,"Esekisaka koyeba ete bonzenga ya bilanga ya bajaponais, ezalaka na zebi mosusu te."
Cet incendie de forêt a une origine naturelle.,Moto oyo etumbi zamba ezali ya mokili.
Elle a passé les dernières années de sa vie avec un chagrin caché.,Alekisaki mobu mileki ya bomoi naye na mawa ya ko bombana.
"Une fois lâché, un mot se répand partout.","Ntango elobami mbala moko, liloba epanzani bisika nyonso."
Je m'excuse mais je ne pourrai participer en personne à la réunion.,Nasengi bolimbisi mpo nakokoka te koya na likita.
"Quant à moi, plutôt que d'essayer d'être un homme cosmopolite et sympa, j'aimerais être quelqu'un du terroir à l'esprit ouvert.","Pona ngai, bisika ya komeka kozala moto awuti na engumba monene mpe azali malamu, nakosepela kozala moto awuti mboka kasi atoondisami na makanisi."
"Salut, ça va ?","Losako, Ozali malamu?"
Ils sont partis pour New York.,Bakendaki New York.
Il n'y a pas de limites à l'univers.,Ndelo ezalaka na molongo mobimba te.
On dirait que cet animal a un problème génétique.,Lokola nyama oyo azali na likmabo moko abotama na yango.
Je mis mes doigts dans mes oreilles pour éviter ces bruits terribles.,Natie misapi na matoyi na ngai pona koboya koyoka makele oyo ya mabe.
Tracy a perdu ses lunettes.,Tracy abungisi manetti naye.
Il discutait de la réunion d'hier soir avec son ami Jesse jackson.,Bazalaki kosolola po na likita ya lobi na pokwa na moninga naye Jesse Jackson.
Il s'inquiète pour les résultats de l'examen.,Azali komitungisa mpo na biyano ya ekizame.
"Hé bien, je me lève tôt, donc je veux dormir, là.","Na bongo, nalamukaka ntongo mpenza, bongo nalingi nalala, kuna."
Les voisins voient que la boîte aux lettres n'est pas vide.,Ba voisins bazali Pomona ete exila ya boyambi mikanda ezali polele te.
"Miwako, je vous présente Kenny.","Miwako, Nazali kolakisa yo Kenny."
Il lui fallait accepter son destin.,Esengelaki andima etinda na ye.
M. Parker tenta de manger avec des baguettes.,M. Parker amekaki ko lya na bitenyi ya nzete.
Certains enfants jouent tout le temps aux jeux vidéo.,Boko bana bazali ntango nyonso kobeta masano ya video.
Le désespoir l'a conduit à faire une tentative de suicide.,Bozangi elikya ememi ye koluka komiboma.
J'ai hâte que le printemps arrive afin que l'on puisse s'asseoir sous les cerisiers.,Nazali kokimela ete eleko ya moyi eya mpo ete tokende kovanda na nse ya nzete.
Je me suis brûlé le bout du doigt.,Namitumbi songe ya mosapi.
"Avec la mort du président, les nouvelles décisions politiques devront attendre l'approbation du Gouvernement.","Na kufa ya mokonzi ya ekolo, bikateli misusu ya bokambi ekozela ko ndimama ya guvernema."
Les fiançailles de M. Rogers et de Mlle. Smith ont été annoncées hier.,Bukueli ya M. Rogers mpe ya Mlle. Smith epesamaki lobi eleki.
L'animal en haut à gauche est censé être un dragon.,Niama likolo kuna na ngambo ya muasi ekokanisa na engilíma.
"Les secours scrutèrent la zone, à la recherche de l'enfant.","Basalisi bazo manyola esika, mpo koluka mwana."
Aucun de mes camarades de classe ne vit près d'ici.,Moko te ya baninga na ngai ya kelasi avandaka awa.
La glace sur le lac est trop fine pour supporter ton poids.,Glace likolo ya mayi ezali mukie makasi pona kosimba kilo na yo.
Qui est ta star de télé préférée ?,Nani nde olingaka mingi na television?
Elle aimait le tennis et devint coach.,Alingaki lisano ya tennis mpe akomaki molakisi.
Nous avons une bonne nouvelle.,Tozali na sango malamu.
Le seigneur avait un pouvoir absolu sur ses sujets.,Mokolo bilanga azalaki na nguya likolo ya basali na ye.
"Dans des temps durs comme ceux-ci, aucun effort ordinaire ne peut sortir notre compagnie du rouge.","Na ntangu ya pasi neti oyo, makasi ya momeseno ekoki ko bimisa kompani na biso na bokwei te."
On m'a proposé le choix entre un thé et un café.,Batunaki ngai namela tii to kafe.
"À son arrivée à Londres, il m'a envoyé un télégramme.","Ntangu akomaki Londres, atindelaki ngai nkoma."
C'est un joueur de tennis.,Azali mobeti ya lisano ya tennis.
Il nia avoir pris part au crime.,Awanga kozala moko ya ba bomi.
Je suis désolé de t'amener tous ces ennuis.,Esali ngai pasi ndenge na memeli yo makambu oyo.
Il y a un fort lien d'affection entre eux.,Ezali na bolingo makasi kati na bango.
Elle habite au 56 Russell Square.,Afandaka na bala-bala Russell Square numero 56.
C'est le manager du département marketing.,Ezali Manager ya departema ya marketingi.
J'attendrai ici jusqu'à ce qu'il revienne.,Nakozela awa kino akozonga.
"Je sais que tu penses avoir compris ce que tu pensais que j'avais dit, mais je ne suis pas sûr que tu as réalisé que ce que tu as entendu n'est pas ce que je voulais dire.","Nayebi ete okanisi ososoli oyo okanisi nalobaki, kasi nandimi te ososoli ete maye okoki mazali te oyo ngai nalingaki koloba."
"C'est étrange à dire, mais il ne connaissait pas la nouvelle.","Ezali kokamwisa koloba yango kasi, ayebaki sango te."
Nick sait très bien parler portugais. C'est parce qu'il l'étudie depuis 5 ans.,Nick ayebi koloba portugais malamu mingi. Ezali mpo ete azali kotanga ezali mobu mitano.
Une nouvelle équipe fut formée afin de prendre part à la course de bateaux.,Lingomba ya sika esalamaki pona ko kende na masano ya ba masuwa.
C'est une assistante efficace et digne de confiance.,Azali mosalisi ya makasi pe ya lokumu ya boliki.
Il gagne le double de mon salaire.,Azwaka lifuti na ngai mbala mibale.
Nicole sait très bien parler japonais.,Nicole ayebi koloba kijaponais malamu mingi.
Nous avons loué un appartement quand nous vivions à New York.,Tobandaki kofutela na ndako moko ya monene tango tozalaki kobika na New York.
Le bol en verre s'est brisé en petits morceaux.,Sani ya moke ya mbele epasuki na biteni ebele.
J'ai un vélo.,Nazali na nkinga moko.
"L'acte connu sous le nom de terrorisme, qui nous prive en un instant de tous nos précieux jours de paix et de bonheur, mérite d'être appelé ennemi de l'humanité tout entière.","Likambo eyebani na nkombo ya bopanzi nsomo, oyo epimelaka biso mikolo kitoko ya kimya mpe esengo na biso, esengeli ebangama monguna ya mokili mobimba."
"Comprenez bien que dans de telles circonstances, nous n'avons pas d'autres alternatives que de trouver un autre acheteur.","Bososola malamu na makambu ya boye, tozali na lolenge mususu ya kosala te soki ko luka mosombi mususu te."
"Oui, mon nom est Karen Smith.","Iyo, nkombo na ngai ezali Karen Smith."
"Hé, que s'est-il passé ?","Hé, nini esalemaki ?"
UN signifie Nations Unies.,UN elakisi Nations Unies.
Est-ce que cela vous dérange d'attendre une minute ?,Bokoki soki ekotungisa bino te kozela ngonga moke?
"En signant ce contrat, je me suis engagé à travailler là-bas pendant 5 ans.","Nakotia mokoloto na contrat oyo, na zwaki mokona ya kosala mosala kuna pona mbula mitano."
Ils veulent augmenter la production de nourriture en faisant pousser de nouvelles espèces de riz.,Balingi komatisa motango ya bileyi na nzela ya lolenge ya boloni loso ya sika.
Ces feuilles vertes deviennent rouges ou jaunes à l'automne.,Nkasa iye ya langi ya mpondu ikomaka motane to mpe na langi ya mosaka na automne.
Je devine à ton visage que tu as de bonnes nouvelles.,Na sosoli na elongi na yo ete ozali na basango malamu.
"En parlant du professeur Smith, son assistant est dur d'oreille.","Awa tozolobela molakisi Smith, mosalisi na ye azali matoyi mangongi."
"Nous espérions que quelques étudiants seraient venus, mais il n'y en avait aucun dans la classe.","Tobanzaki ete bana kelasi baike bakosila koyingela, kasi ata moko te asilaki koya na esika ya bopesi mateya."
Le fait est qu'ils sont trop jeunes.,Likambo ezali ete bazali bilenge penza.
L'une de ces routes amène à la station.,Moko ya nzela iye ekeyi kino na station.
De nombreux artistes connus vivent à New York.,Bato ebele ya ntoki baye bayebana babikaka na New York.
"Cette balle, est-elle la tienne ou la sienne ?",Motopi moye ezali ya yo to ya ye ?
C'est très gentil de ta part de m'envoyer un si joli cadeau.,Olakisi motema malamu na yo na likabo ya kitoko oyo otindeli ngai.
Il peut courir 100 mètres en douze secondes.,Akoki kokima metele mokama na sekondi zomi na mibale.
"C'était suffisamment grave qu'il ait l'habitude d'arriver en retard au travail, mais qu'il arrive soûl est un comble, et je vais devoir m'en séparer.","Ezalaki mabe mingi lolenge amesanaki koyaka mosala na sima ya ngonga, kasi koya na mosala na kwiti wana penza ezali mate koleka, mpe esengeli nakabwana naye."
De plus en plus de médecins ont commencé à utiliser les nouveaux médicaments.,Mingi na kati ya minganga bambandi kosalela nkisi ya sika.
Tous les garçons tombent amoureux de Julia.,Bilenge mibali nyonso bazali na bolingo na Julia.
"La fête surprise pour Laura n'est pas ce soir, mais demain soir.","Nteke ya kosutikisa Laura ezali pona mpokwa ya lelo te, kasi na mpokwa ya lobi."
J'ai senti un contact léger sur mon épaule.,Na yokaki bokangi ya pepele na lipeka.
Je cherchais Andy. Sais-tu où il est ?,Nazaki koluka Andy. Oyebi soki azali wapi?
"Formant une infrastructure d'informations, le réel impact de l'autoroute de l'information est une attente du développement de la nouvelle économie due au passage d'une industrie de matériel informatique tangible à une industrie de logiciels intelligents.","Ndenge esali ba lolenge ya ko tambwisa ba nsango, mosala malamu ya nzela pona kotambolisa nsango ezali pona komema na kobongisa nkita koleka na industrie ya informatique pona ba logiciels ya sika."
Coupez la mozzarella en dés de 7 mm environ.,Kata fromage ya mozzarella na biteni kokokana na 7 mm.
"Ferme-la et écoute, gamin.","Kanga monoko mpe yoka, elenge."
"Honnêtement, ses discours sont toujours ennuyeux.","Na bosolo, masikulu na yo malembisaka bato."
"Le feu, conduit par un vent d'est, a détruit le centre-ville.","Moto, ekumbamaki na mopepe ya Est, epanzi centre-ville."
"Des fois, à la nuit tombée, il levait les yeux vers le ciel étoilé avec curiosité.","Ntangu misusu, na ngonga butu esili koyingela, azalaki kotombola misu na likolo etonda minzoto na mposa."
"Faites fondre le chocolat, ajoutez le beurre et remuez bien.","Komisa sokola mayimayi, bakisa manteka mpe sangisa yango malamu."
Ces nouvelles l'ont rendu content.,Basango wana esalaki ye ya ko sepela.
Ses yeux ont observé mon expression faciale pour savoir si je lui parlais franchement.,Miso na ye etalaki ezaleli ya elongi na ngai mpo na koyeba soki nazalaki koloba na ye na bosolo.
J'attendais des bonnes nouvelles de leur part.,Nazalaki kozila nsango malamu kowuta epai ya bango.
Sa beauté le charma.,Bonzenga na ye ekweyisi ye.
"Ce livre est l'équivalent littéraire des bonbons Haribo : on veut juste en goûter un, et on finit par dévorer le paquet tout entier.","Buku oyo ekokani na bonbons Haribo: olingi bobele komeka moko, kasi osuki nakoliya paquet mobimba."
Est-il probable qu'il vienne ?,Ekoki kosalema ete aya?
Ce qui est permis à Jupiter n'est pas permis au bœuf.,Oyo epesami na mokonzi epesami na mongamba te.
"Tant que je respire, j'espère.","Ntango nazali kopema, nazali na elikya."
Mike a quelques amis en Floride.,Mike azali na boko baninga na Floride.
"Vous devez vous en aller… poursuivit Anna Sergeevna en chuchotant. Vous m’entendez, Dmitri Dmitrich ?","Esengeli ete okende... ekobaki Anna Sergeevna na koloba na mongongo ya nse. Oyoki ngai, Dmitri Dmitrich ?"
"Je t’en prie, Papa, sois bon avec lui. Je ne pourrais t’exprimer à quel point je tiens à son amitié.","Na bondeli yo, papa zala malamu naye. Nayebi te lolenge nini na talisa yo ete nalingi azala moninga na ngai."
Tu es un bon étudiant.,Ozali moyekoli malamu.
Vous ne devez pas descendre du train avant son arrêt.,Esengeli te kokita engunduka yambo etelema.
Ce mec est complètement taré !,Mwana mobali oyo baloka ye.
Qu'est-ce que tu as offert à Mike pour son anniversaire ?,Obonzeli Mike nini na eyenga naye ya mbotama?
J'aimerais bien essayer de ramener ma machine à laver qui est toujours à Lyon en Allemagne.,Nakosepela komeka komema machini ya kosokola bilamba ya ngayi oyo ezali kino sikoyo na Lyon na Allemagne.
J'aimerais visiter New York un jour.,Nakolinga mokolo moko kokende New York.
L'avocat attendait Ben.,Mosambeli azalaki kozela Ben.
Le berger essaye toujours de persuader les moutons que leurs intérêts et les siens sont identiques.,Mokengeli ba mpate amekaka ko ndimisa ba mpate ete bolamu na bango na ya ye mazali eloko moko.
"L'iris japonais, qui est associé à la fête des garçons (5 mai), n'est pas une fleur très jolie.","Fololo iris ya ekolo Zapo, lisangisamaka na eyenga ya bana ya mibali (mokolo ya mitano ya sanza ya mitano), ezali fololo ya kitoko penza te."
"La protection absolue de la vie privée sur Facebook est une illusion, elle n'existe pas en réalité.","Bokengi ya malonga penza ya bomoyi ya bomoto na Facebook eza lokuta, ezalaka n'ango penza na bosolo te."
Cette île était gouvernée par la France à une certaine époque.,île oyo ekambamaki na France na eleko mosusu.
Elle est allée en France pour étudier l'art.,Akendeki koyekola art o mboka France.
D'où venez-vous au Canada ?,"Bowuti wapi, na Canada ?"
Il est revenu du Canada.,Awuti Canada.
Vous n'êtes jamais allé à Paris ?,Naino okenda na Paris te?
"Dean mange vraiment beaucoup, n'est-ce pas ?","Dean aliyaka penza mingi, eza bongo te?"
"Jason, qui était en charge du projet, a été renvoyé pour cause de corruption.","Jason, oyo azalaki kokamba misala yango , babenganaki ye mpo na kanyaka."
Le scandale a presque ruiné sa carrière.,Mbeba asalaki lokola ebebisa mosala na ye.
"Selon une étude de l'université Cornell, les accusés au visage peu attirant ont 22 pour cent plus de chances d'être condamnés que ceux qui sont attirants.","Engebene na bolukiluki moko ya université Cornell, bafundami na elongi ya kobenda bokebi mingi te bato ntuku mibale na mibale likolo ya mokama bazali na konzo ya kokweyisama koleka baye bazali na bilongi ya bobendi bokebi."
La vue du homard frais me donna de l'appétit.,Na komona KosaKosa ya monene mpe sika epesi ngai mposa ya kolia.
Mon oncle Bob a réparé mon horloge et maintenant elle indique l'heure correctement.,Noko nangayi Bob abongisi saa mpe sikaawa ezali kopesa tango malamu.
Mon cousin Teddy a étudié en français à l'université et a étudié à Paris pendant un an.,Ndeko nanga Teddy atangaki na kifalansa na kelasi pe a tangaki na Paris mbula moko.
Tes nouveaux amis pourraient se moquer de certains de tes agissements.,Baninga nayo ya sika bakoki koseka masali nayo.
Dave est le nageur le plus rapide parmi mes camarades de classe.,Dave nde azali mobeti mayi ya mbangu na kati ya baninga na ngai ya kilasi.
Vous pouvez choisir le livre que vous aimez.,Okoki kopona buku oyo olingi.
Le scientifique a essayé de découvrir les lois de la Nature.,Moto ya mayele amekaki kokukola mibeko ya mokili.
John Wayne était une des stars de cinéma les plus populaires de ce siècle.,John Wayne azalaki moko na ba oyo bayebana makasi na sekulo oyo.
"Il y a ceux qui, dans une situation désespérée, cherchent assistance dans les prières des autres, mais ne pensent pas à prier pour eux-mêmes.","Ezalaka na bato, ontei ya bozangi elikya, balukaka lisungi kati ya mabondeli ya baninga, kasi bazalaka na likannisi ya kosambela te pona bango moko."
Ce n'est que lorsque notre santé nous quitte que nous nous rendons compte de sa valeur.,Ezali kaka na ntangu to bungisaka bokolongonu bwa nzoto na biso nde toyaka koyeba motuya na yango.
"Beth a dit à Chris de se laver, sans quoi elle n'irait pas en sortie avec lui.","Beth ayebisi Chris a sokola, pamba te ako bima naye te."
Bonjour. Es-tu Jackie Scott ?,Mbote. Ozali Jackie Scott?
L'empereur pria pour le repos des morts.,Mokonzi asembelaki pona bopemi na kimia ya ba weyi.
Je ne peux pas dire que M. Kelly ait vécu une vie de saint.,Nakoki koloba te papa Kelly azalaki na bomoyi ya basantu.
Aucun autre livre n'est aussi lu que la Bible.,Ata mukanda moko te etangama ko leka Biblia.
"Lorsqu'on ne vous recevra pas et qu'on n'écoutera pas vos paroles, sortez de cette maison ou de cette ville et secouez la poussière de vos pieds.","Tango bakoyamba bino te pe bakoyoka maloba ma bino te, bobima o ndako ena to pe o engumba pe bopupola putulu o makolo ma bino."
Il faisait si chaud que j'ai dormi avec la fenêtre ouverte.,Molunge elekaki makasi ete nalalaki lininisa polele.
Nous étions en sueur à cause de la chaleur.,Totondisamaki na mutoki likolo ya mulunge.
"Après que huit mois eurent passés et que sa peine d'amour se fut évanouie, Georges recommença à sortir avec des filles.","Na nsima ya sanza mwambe koleka mpe mpasi na ye ya bolingo kosila, Georges abandelaki lisusu kolingana na basi."
Un coup de tonnerre soudain le réveilla.,Nkake elamusaki ya na mpwasa.
Johnny a planté des graines de pommier continuellement pendant 46 ans.,Johnny azalaki kolona bambuma ya pomme nabokobi mibu 46.
Jim court aussi vite que Ron.,Jim azo ko kima mbangu ko leka Ron.
"Ah, je vous remercie, mon cher.","Boye, natondi yo, ndeko na ngayi"
"Aujourd'hui, j'étais censé étudier à la bibliothèque, mais je me suis réveillé vers midi.","Lelo, nasengelaki kotanga na bibiliothèque, kasi nalamukaki na zanga."
"Si seulement j'avais vendu cette propriété pendant la bulle, je n'aurais pas perdu autant d'argent.","Soki na tekaki bisika oyo na ntangu ya mbonge, nalingaki na bungisa mbongo ebele boye te."
L'ours n'omit de chercher dans aucun endroit alors qu'il cherchait des insectes juteux.,Ours atiki te koluka esika mosusu tango azali koluka nyama eke ya mai mingi.
L'homme était trop gros pour se déplacer par lui-même.,Moto yango azalaki monene mingi mpo na kotambola ye moko.
J'aimerais que les passants arrêtent de jeter leurs canettes vides et autres ordures sur le sentier de montagne.,Nalingi ete baleki nzela batika kobwaka milangi ya mpamba mpe bosoto misusu na nzela ya ngomba.
Il a été trouvé coupable de tentative de meurtre pour avoir attaqué sa mère avec un couteau.,Ba katelaki ye mbano ya komeka koboma moto po alanda mama na ye na mbeli.
"Lorsque je suis avec un bébé qui pleure, j'ai le goût de pleurer moi aussi !","Tango nazali na muana muke oyo azo lela, naza na posa nga moko yako lele mpe."
Les médecins ont prélevé le bloc cœur-poumons sur un patient en état de mort cérébrale pour le transplanter sur un malade atteint de mucoviscidose.,Minganga bakamataki libanga motema pe lipululu na mokoni azalaki lolenge ya moweyi ya bokoni ya moto po nakotiya yango na mokoni ya misisa.
Le Téléthon est une émission TV française organisée tous les ans pour récolter des fonds afin de financer la recherche médicale.,Téléthon ezali émission yoko ya TV ya ba falansé oyo esalamaka bambula nyoso pona ko sangisa mbongo na tina ya ko sala bolukiluki ya kisi.
"Si les cons faisaient un concours, tu finirais deuxième, tu es bien trop con pour finir premier.","Soki bazoba basali momekano, okozala moto ya mibale, ozali zoba makasi yango okoki te kozala moto ya yambo."
Ce bus va-t-il à la gare ?,Motuka oyo ezali kokende na gare ?
Bob se pressa de revenir à la maison pour regarder l'émission de télé.,Bob asalaki azonga nokinoki na ndako mpo na kotala émission na télévision.
Les policiers de la ville de New York portent un uniforme bleu sombre.,Pulusu ya engumba New York balataka elamba ya langi ya bule mohindo.
"Quand le chat n'est pas là, les souris dansent.","Ntango nyawu azali te, ba mpuku babinaka."
"Quand le chat n'est pas là, les souris dansent.","Ntangu nyawu azali te, ba mpuku babinaka."
Ma tante vit à New York.,Tata mwasi na ngai avandaka na New York.
"Comment dit-on ""good bye"" en allemand ?","Ndenge nini balobaka ""botikala malamu"" na ki allemand ?"
M. Spencer travaille dans un magasin.,M.Spencer asalaka na kati ya magazini.
Je me suis sauvé sans rien dire puisque je ne voulais pas perdre notre amour.,Nakendaki ata koloba eloko moko te mpo nalingaki kobungisa bolingo na biso te.
"La magicienne Sarah. Apparemment, certains l'appellent ""La grande Mage"" ou quelque chose comme ça.","Moto ya soloka Sarah. Liboso, basusu babengaka ye ‘‘Moto ya soloka monene'' to mpe nkombo moko songolo."
"La Révolution française n'a pas eu seulement pour objet de changer un gouvernement ancien, mais d'abolir la forme ancienne de la société.","Mbongwana ya France ezalaki kaka te na mwango ya kolongola leta ya kala, kasi mpe komema etamboli ya sika mpo na mokili."
Il a violé la loi.,Abuki mobeko.
